id,category,year,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,道路,2010,地域高規格道路に関する記述のうち、誤っているものを選びなさい。,連携強化による地域集積圏の形成、地域の交流促進、渋滞緩和による地域活性化の３つの機能を担う,サービス速度は路線全体概ね60km/h以上を確保する,サービス速度を確保できる場合は平面交差を設置することができる,現道の一部区間をそのまま、もしくは一部改良を行い現道活用できる,b,地域高規格道路のサービス速度は路線全体概ね80km/h以上を確保することが基準である,道路構造令,標準
2,道路,2010,山地部における道路に関する記述のうち、誤っているものを選びなさい。,地域の状況に応じた通行機能を早期確保するため1.5車線的道路整備ができる,本来は２車線となるが、やむを得ず１車線改良とするにあたっては、道路構造令第５条の車線等に関する特例値を適用する,応急処置として局部改良を行う場合は、道路構造令第38条による小区間改築の場合を適用し弾力的に運用する,道路状況に応じて、急な線形の改良、視距の確保、待避所の設置などの組み合わせで早期に整備効果を得ることができる,b,１車線改良時は道路構造令第５条ではなく適切な規定を適用する,道路構造令,標準
3,道路,2010,設計区間に関する記述のうち、誤っているものを選びなさい。,地形の状況等によりやむを得ない場合は、種級や設計速度を落とした区間が一つの設計区間の中に１～２箇所程度は許容できる,自動車専用道路である第１種および第２種のやむを得ない場合の最小区間長は５㎞とする,第３種と第４種を接続する場合には、同じ設計速度の級区分で接続することが望ましい,設計速度の差が20㎞/hを超える設計区間を直接接続することは避けるべきである,b,自動車専用道路の最小区間長は３㎞である,道路構造令,標準
4,道路,2010,設計車両に関する記述のうち、誤っているものを選びなさい。,設計車両の諸元は車両制限令、道路運送車両の保安基準、道路交通法による基準の最大寸法の車両をもとに定めている,小型自動車の長さは道路運送車両法による最大の値4.7mを用いている,フルトレーラ連結車よりセミトレーラ連結車の方が回転時の占有幅が大きいことから、セミトレーラ連結車の長さとして16.5mを用いている,背高コンテナについては、昭和60年４月より指定経路で輸送可能となり、これを考慮してセミトレーラ連結車の高さは4.1mとしている,c,フルトレーラ連結車の方がセミトレーラ連結車より回転時の占有幅が大きい,道路構造令,標準
5,道路,2010,車線等に関する記述のうち、誤っているものを選びなさい。,設計基準交通量は自動車の最大許容交通量であり、道路の計画や設計を行う際に用いる基本の値である,第３種第５級および第４種第４級の道路は車道だけで車線を持たない道路である,交差点の多い第４種の道路では設計基準交通量に２車線の場合は0.8、４車線の場合は0.6を乗じて適用する,主要幹線に該当する第３種第２級の道路は交通の状況により、車線幅員に3.5mを採用できる,a,設計基準交通量は計画交通量であり、最大許容交通量ではない,道路構造令,標準
6,道路,2010,付加追越車線に関する記述のうち、誤っているものを選びなさい。,道路構造令第６条では第１種の道路について規定しているが、第２種、第３種、第４種の道路においてもサービス速度提供のために必要に応じて設置してもよい,道路交通法においては高速自動車国道または自動車専用道路の場合、本線車道として扱われる車線である,第２種および第３種第１級の道路は片側車線数が２以上であることから付加追越車線は設置しない,ゆずり車線は、付加追越車線と同じ目的で地形の状況などやむを得ない場合に設置する,c,第２種および第３種第１級でも付加追越車線を設置する場合がある,道路構造令,標準
7,道路,2010,平面線形の設計に関する記述のうち、正しいものを選びなさい。,設計速度が高い道路では、ハンドル操作の容易性から走行性、安全性が高い直線を極力長く確保するように設計する,同方向に屈曲する曲線の間にやむを得ず直線を挿入する場合には、極力直線区間を短くするように設計する,道路交角が小さくなる平面線形の場合は、曲率が実際より大きく見える錯覚が生じることを防止するため、曲線長が短い円曲線の挿入は避けるように設計する,平面曲線と縦断曲線を適切にずらすことにより、運転者から見て滑らかな美しい線形となるように設計する,d,平面曲線と縦断曲線を適切にずらすことで美しい線形となる,道路構造令,標準
8,道路,2010,平面交差点に関する記述のうち、誤っているものを選びなさい。,飽和交通流率の基本値は、道路・交通条件が理想的な場合に１列の車列から流れる青１時間当たりの通過台数である,左折車線および右折車線の飽和交通流率の基本値は1800台／青1時間である,車線の標準幅員は3.0mとし、3.0mを下回る場合には飽和交通流率の補正を行う,直進車線の飽和交通流率の基本値は2000台／青1時間である,b,左折車線および右折車線の飽和交通流率の基本値は直進車線と異なる,平面交差の計画と設計,標準
9,道路,2010,舗装の設計に関する記述のうち、誤っているものを選びなさい。,舗装の設計期間は一律に規定することなく、ライフサイクルコストの観点から、最適な設計期間を道路管理者が決定する,舗装計画交通量は、一方向３車線以上の道路においては、大型車の方向別の日交通量の70％以上が１車線を通過するものとして算定する,50％の信頼性とは、設計条件のとおりであれば設計期間を通して疲労破壊を生じない舗装のことをいう,信頼性が50％の交通量を２倍して設計することで信頼性を90％に上げることができる,d,信頼性90％にするには交通量を２倍するだけでは不十分である,舗装設計便覧,標準
10,道路,2010,道路標識に関する記述のうち、誤っているものを選びなさい。,路側式標識の標示板の高さは2.50mを標準とする,片持式・門型式標識の標示板の設置高さは5.0mを標準とし、少なくとも4.7m以上確保することが望ましい,警戒標識、規制標識は原則として路側式とする,警戒標識の標示板は原則として併設はしないものとし、もっとも注意を要するもののみを設置する,a,路側式標識の標示板の高さは2.00mを標準とする,道路標識設置基準,標準
11,道路,2010,小型道路の条件として、誤っているものを選びなさい。,普通道路での整備が困難であること,自動車が沿道へアクセスする機能をもつ必要がない道路であること,当該道路の近くに大型の自動車が迂回することのできる道路があること,歩行者、自転車利用者の安全性・利便性が確保できる道路であること,b,小型道路でも沿道アクセス機能は必要な場合がある,道路構造令,標準
12,道路,2010,設計車両の諸元に関する記述のうち、誤っているものを選びなさい。,小型自動車は、長さ4.7ｍ、幅1.7ｍ、高さ2.0ｍ、最小回転半径6.0ｍである,小型自動車等は、長さ10.0ｍ、幅2.5ｍ、高さ2.8ｍ、最小回転半径10.0ｍである,普通自動車は、長さ12.0ｍ、幅2.5ｍ、高さ3.8ｍ、最小回転半径12.0ｍである,セミトレーラ連結車は、長さ16.5ｍ、幅2.5ｍ、高さ3.8ｍ、最小回転半径12.0ｍである,d,セミトレーラ連結車の高さは4.1mである,道路構造令,標準
13,道路,2010,付加追越車線に関する記述のうち、誤っているものを選びなさい。,付加追越車線の幅員は本線と同じ幅員とする,ゆずり車線の幅員は3.0ｍを標準とする,ゆずり車線は低速車が分岐するため、すりつけ長が短くなる,付加追越車線は縦断勾配６％以上の箇所に設置する,d,付加追越車線は縦断勾配４％以上の箇所に設置する,道路構造令,標準
14,道路,2010,路肩に関する記述のうち、誤っているものを選びなさい。,全路肩とは、すべての車両の一時停車が可能な路肩である,半路肩とは、車両の走行に大きな影響を与えない側方余裕幅が確保され、また乗用車は停車が可能な路肩である,狭路肩とは、走行上必要な最小限度の側方余裕幅が確保された路肩である,特殊路肩とは、付加追越車線、登坂車線、ゆずり車線などの交通が分岐される特殊な箇所に設けられる路肩である,d,特殊路肩の定義が正確ではない,道路構造令,標準
15,道路,2010,立体交差の計画に関する記述のうち、誤っているものを選びなさい。,車線数の数が４以上である普通道路が相互に交差する場合においては、交差方式は立体交差とする,小型道路と普通道路の交差は、小型道路への大型車の進入を避けるため、種級区分や交通量、車線数によらず、すべて立体交差とする,維持管理面で、排水への十分な管理が必要となり、また、維持管理費が余計にかかる立体交差構造はオーバーパスである,第３種、第４種の普通道路で立体交差をする交差点であっても、交通量および交通の安全からみて当分の間平面交差で処理できると認められる場合は、段階建設として、平面交差とすることができる,b,小型道路と普通道路の交差は必ずしもすべて立体交差とする必要はない,立体交差の計画と設計,標準
16,道路,2010,バス停留所の構造に関する記述のうち、誤っているものを選びなさい。,バスベイ型とは、歩道に切り込みを入れて停留所を設けるものをいう,テラス型とは、車道側に張り出して停留所を設けるものをいう,ストレート型とは、歩道の幅員を変えることなく、歩道内に停留所を設けるものをいう,パラレル型とは、低床バス等の利用でバリアフリー化を図った段差の少ない停留所をいう,d,パラレル型の定義が正確ではない,バス停留所設計指針,標準
17,道路,2010,道路の幾何構造諸元のうち、地形の状況その他の特別の理由による緩和規定の適用がないものを選びなさい。,車線の幅員,曲線半径,縦断勾配,片勾配のすりつけ率,a,車線の幅員には緩和規定がない,道路構造令,標準
18,道路,2010,道路の移動円滑化整備ガイドラインで規定されている歩道に関する記述のうち、誤っているものを選びなさい。,縦断勾配は５％以下とする,横断勾配は１％以下とする,人の通行時の占有幅は75cmである,車椅子が回転する場合の占有幅は2.0mである,b,横断勾配は２％以下である,道路移動円滑化整備ガイドライン,標準
19,道路,2010,道路の移動円滑化整備ガイドラインで規定されている立体横断施設に関する記述のうち、誤っているものを選びなさい。,傾斜路の有効幅員は２m以上とし、縦断勾配は5％以下とする,階段の有効幅員は1.5m以上とし、勾配は50％、踏み幅30cmを標準とする,階段の高さが４mを超える場合には、その途中に踏み幅1.2m以上の踊り場を設ける,通路の有効幅員は２m以上とし、横断勾配は設けない,b,階段の勾配は約31％（1/3.2）が標準である,道路移動円滑化整備ガイドライン,標準
20,道路,2010,擁壁に関する記述のうち、誤っているものを選びなさい。,重力式擁壁の安定計算には、主働土圧を用いるのが一般的である,プレキャストコンクリート擁壁で用いる摩擦係数は、0.6を超えないものとする,高さが８m以下の擁壁では、地震時の安定検討を省略しても良い,置換え基礎を行なう場合の基礎底面からの鉛直応力の分散角度は45°を標準とする,c,高さ５m以上の擁壁では地震時の安定検討が必要である,道路土工擁壁工指針,標準
21,土質及び基礎,2010,速度検層の方法に関する記述のうち、正しいものを選びなさい。,速度検層は地盤内の弾性波速度をボーリング孔内で測定するもので、地下水位より浅い区間では測定できない,S波の測定には孔内起振受振方式の場合、正・逆２位相の波形を測定する必要がない,孔口では浅い区間、ダウンホール方式では起振点と受振点の距離に応じて走時補正を求める,S波速度とP波速度から求められるポアソン比は力学試験の代用となることができる,d,S波速度とP波速度からポアソン比を求めることで力学的性質を推定できる,地盤調査の方法と解説,標準
22,土質及び基礎,2010,河川砂防基準の既設堰堤調査に関する記述のうち、誤っているものを選びなさい。,既設堰堤の調査は、必要に応じて堰堤の防災弱点箇所抽出調査、漏水調査および軟弱地盤調査が実施される,既設堰堤の漏水調査は、堰体漏水を対象として漏水対策工法検討のために行う,堰体材料の透水性は、透水試験がない場合、材料の粒度試験結果から透水係数をハーゼンの式またはクリーガーの式の提案値から概略推定することができる,堰体の透水性を単孔式の現場透水試験で求める場合、定量注水による平衡水位法で求められる,d,単孔式現場透水試験では揚水試験により透水係数を求める,河川砂防技術基準,標準
23,土質及び基礎,2010,土の構成の模式図に示す体積質量の割合から土の状態を表す諸量として、誤っているものを選びなさい。,含水比w＝（mw／ms）×100（％）,間隙比e＝（Va＋Vw）/Vs,飽和度Sr＝｛Vw／（Va＋Vw）｝×100（％）,乾燥密度ρd＝ms／V,b,間隙比e＝Vv/Vs（Vv＝Va＋Vw）が正しい,土質試験の方法と解説,標準
24,土質及び基礎,2010,NATM工法における支保工設置順序として、適切なものはどれか。,吹付け→ロックボルト→鋼製支保工→二次吹付け,ロックボルト→吹付け→鋼製支保工→二次吹付け,一次吹付け→ロックボルト→鋼製支保工→二次吹付け,鋼製支保工→ロックボルト→一次吹付け→二次吹付け,a,転圧補助材の敷設長は通常１m程度である,道路土工盛土工指針,標準
25,土質及び基礎,2010,円弧すべり面を仮定した震度法による安定計算法を用いた場合の地震時安全率の計算式に関する記述のうち、正しいものを選びなさい。,安全率＝（抵抗モーメント）／（滑動モーメント＋地震時慣性力モーメント）,安全率＝（抵抗モーメント＋地震時慣性力モーメント）／（滑動モーメント）,安全率＝（抵抗モーメント）／（滑動モーメント－地震時慣性力モーメント）,安全率＝（抵抗モーメント－地震時慣性力モーメント）／（滑動モーメント）,a,地震時は滑動側に地震時慣性力モーメントが加算される,道路土工盛土工指針,標準
